commonName,lat,lon,NbDocks,geometry,Station_number,Community,Average Inbound Duration (minutes),Average Outbound Duration (minutes)
"River Street , Clerkenwell",51.529163,-0.10997,19,POINT (700457.6895490855 5712632.1372792665),1023,1,10.564168601190476,9.622572574447647
"Christopher Street, Liverpool Street",51.521283,-0.084605,32,POINT (702251.640902797 5711825.858795362),1012,1,11.732515929824562,12.225659279881217
"St. Chad's Street, King's Cross",51.530059,-0.120973,23,POINT (699690.7244891608 5712701.654961897),1013,0,10.745024120082816,12.521448881036514
"Sedding Street, Sloane Square",51.49313,-0.156876,27,POINT (697360.5455241217 5708498.365484301),3420,3,12.365852173913044,11.967005747126437
"Broadcasting House, Marylebone",51.518117,-0.144228,18,POINT (698129.9010837389 5711310.670292128),3424,0,11.116040177548681,11.01007701754386
"Charlbert Street, St. John's Wood",51.5343,-0.168074,16,POINT (696406.1191667509 5713045.626331833),3422,0,15.402250170648465,14.713701421568627
"New Globe Walk, Bankside",51.507385,-0.09644,19,POINT (701492.1098577491 5710247.99872348),1015,2,11.462497478070176,10.560518181818182
"Park Street, Bankside",51.505974,-0.092754,18,POINT (701754.0854808401 5710101.280816227),1024,2,12.188240655509064,11.825276758409785
"Brunswick Square, Bloomsbury",51.523951,-0.122502,24,POINT (699611.4163656881 5712018.380143867),1022,0,9.666449015471168,9.011405669099757
"Malet Street, Bloomsbury",51.52168,-0.130431,49,POINT (699071.3953932829 5711744.275086651),980,0,11.197169780500255,10.92171636927851
"Scala Street, Fitzrovia",51.519914,-0.136039,21,POINT (698690.1128155339 5711532.678439824),970,0,10.534688125763125,10.44048517495396
"Argyle Street, Kings Cross",51.529416,-0.123944,45,POINT (699487.5055428941 5712622.056573413),1011,0,12.331246161241587,12.347226738657973
"Great Russell Street, Bloomsbury",51.517727,-0.127854,26,POINT (699267.3978985668 5711311.788770915),988,0,11.46056724137931,11.50932304964539
"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,21,POINT (699359.7494795077 5712276.4009797955),1010,0,9.582220794246403,9.765493888888889
"Hatton Wall, Holborn",51.521661,-0.109006,26,POINT (700557.5179070572 5711800.693465647),1008,1,10.163051198257081,10.183206392950883
"Drury Lane, Covent Garden",51.51477,-0.122219,27,POINT (699671.2129700341 5710998.3896947885),1007,0,11.352781785579463,10.974117174925878
"Taviton Street, Bloomsbury",51.52505,-0.131161,30,POINT (699006.0630774255 5712116.973011884),1009,0,10.262137463496037,10.549569291338583
"Drummond Street , Euston",51.527326,-0.136052,28,POINT (698656.9362694563 5712356.727549303),993,0,10.220347692307692,11.073952058590656
