Start station,"Abbey Orchard Street, Westminster","Abingdon Green, Westminster","Albany Street, The Regent's Park","Albert Embankment, Vauxhall","Albert Gate, Hyde Park","Aldersgate Street, Barbican","Allington Street, Victoria","Ampton Street , Clerkenwell","Archbishop's Park, Waterloo","Arundel Street, Temple","Ashley Place, Victoria","Baker Street, Marylebone","Baldwin Street, St. Luke's","Bank of England Museum, Bank","Bankside Mix, Bankside","Barbican Centre, Barbican","Bath Street, St. Luke's","Bayley Street , Bloomsbury","Baylis Road, Waterloo","Beaumont Street, Marylebone","Bedford Way, Bloomsbury","Belgrave Road, Victoria","Belgrave Square, Belgravia","Bell Lane, Liverpool Street","Bell Street , Marylebone","Belvedere Road 1, South Bank","Belvedere Road 2, South Bank","Bermondsey Street, Bermondsey","Berry Street, Clerkenwell","Bethnal Green Road, Shoreditch","Birkenhead Street, King's Cross","Black Prince Road, Vauxhall","Blackfriars Road, Southwark","Blackfriars Station, St. Paul's","Bolsover Street, Fitzrovia","Borough High Street, The Borough","Borough Road, Elephant & Castle","Boston Place, Marylebone","Bourne Street, Belgravia","Bouverie Street, Temple","Braham Street, Aldgate","Brandon Street, Walworth","Breams Buildings, Holborn","Brick Lane Market, Shoreditch","Bricklayers Arms, Borough","British Museum, Bloomsbury","Broadcasting House, Marylebone","Broadley Terrace, Marylebone","Broadwick Street, Soho","Brunswick Square, Bloomsbury","Brushfield Street, Liverpool Street","Bruton Street, Mayfair","Buckingham Gate, Westminster","Bunhill Row, Moorgate","Bury Place, Holborn","Butler Place, Westminster","Buxton Street 1, Shoreditch","Cadogan Gardens, Chelsea","Cadogan Place, Knightsbridge","Calshot Street , King's Cross","Carey Street, Holborn","Cartwright Gardens , Bloomsbury","Central House, Aldgate","Chadwell Street, Angel","Chapel Place, Marylebone","Charlbert Street, St. John's Wood","Charles II Street, West End","Charlotte Street, Fitzrovia","Cheapside, Bank","Chicheley Street, South Bank","Christopher Street, Liverpool Street","City Road, Angel","Claremont Square, Angel","Clarges Street, Mayfair","Clerkenwell Green, Clerkenwell","Clifford Street, Mayfair","Clifton Street, Shoreditch","Cloudesley Road, Angel","Columbia Road, Shoreditch","Commercial Street, Shoreditch","Concert Hall Approach 1, South Bank","Concert Hall Approach 2, South Bank","Coram Street, Bloomsbury","Cotton Garden Estate, Kennington","Craven Street, Strand","Crawford Street, Marylebone","Crimscott Street, Bermondsey","Crinan Street, King's Cross","Cromer Street, Bloomsbury","Crosswall, Tower","Curlew Street, Shad Thames","Curzon Street, Mayfair","Denyer Street, Knightsbridge","Dickens Square, Borough","Doric Way , Somers Town","Dorset Square, Marylebone","Drummond Street , Euston","Drury Lane, Covent Garden","Duke Street Hill, London Bridge","Eagle Wharf Road, Hoxton","Earnshaw Street , Covent Garden","Eaton Square (South), Belgravia","Ebury Bridge, Pimlico","Eccleston Place, Victoria","Edgware Road Station, Marylebone","Elizabeth Bridge, Victoria","Embankment (Savoy), Strand","Empire Square, The Borough","Endsleigh Gardens, Euston","Euston Road, Euston","Euston Square Gardens, Euston","Eversholt Street , Camden Town","Falkirk Street, Hoxton","Fanshaw Street, Hoxton","Farm Street, Mayfair","Farringdon Lane, Clerkenwell","Farringdon Street, Holborn","Fashion Street, Whitechapel","Finsbury Circus, Liverpool Street","Finsbury Leisure Centre, St. Luke's","Finsbury Library , Finsbury","Finsbury Square , Moorgate","Fire Brigade Pier, Vauxhall","Foley Street, Fitzrovia","Fore Street Avenue, Guildhall","Fore Street, Guildhall","Fournier Street, Whitechapel","Frith Street, Soho","Gaywood  Street, Elephant & Castle","George Place Mews, Marylebone","George Street, Marylebone","Geraldine Street, Elephant & Castle","Gloucester Street, Pimlico","Godliman Street, St. Paul's","Golden Lane, Barbican","Golden Square, Soho","Good's Way, King's Cross","Goswell Road (City Uni), Finsbury","Gower Place , Euston","Grafton Street, Mayfair","Graham Street, Angel","Granby Street, Shoreditch","Great Dover Street, The Borough","Great Percy Street, Clerkenwell","Great Russell Street, Bloomsbury","Great Suffolk Street, The Borough","Great Titchfield Street, Fitzrovia","Great Tower Street, Monument","Green Park Station, Mayfair","Green Street, Mayfair","Greenberry Street, St.John's Wood","Greycoat Street , Westminster","Grosvenor Crescent, Belgravia","Grosvenor Square, Mayfair","Guildhouse Street, Victoria","Guilford Street , Bloomsbury","Hampstead Road, Euston","Hampton Street, Walworth","Hardwick Street, Clerkenwell","Harper Road, The Borough","Harriet Street, Knightsbridge","Harrington Square 1, Camden Town","Harris Academy, Bermondsey","Harrowby Street, Marylebone","Hatton Garden, Holborn","Hatton Wall, Holborn","High Holborn , Covent Garden","Hinde Street, Marylebone","Holborn Circus, Holborn","Holy Trinity Brompton, Knightsbridge","Hop Exchange, The Borough","Horseferry Road, Westminster","Houghton Street, Strand","Houndsditch, Aldgate","Howick Place, Westminster","Howland Street, Fitzrovia","Hoxton Station, Hoxton","Hoxton Street, Hoxton","Hyde Park Corner, Hyde Park","Jewry Street, Aldgate","Kennington Cross, Kennington","Kennington Station, Kennington","Killick Street, King's Cross","King Edward Street, St Pauls","King Edward Walk, Waterloo","Kings Gate House, Westminster","Kingsway Southbound, Strand","Kingsway, Covent Garden","Knightsbridge, Hyde Park","LSBU (Borough Road), Elephant & Castle","Lambeth North Station, Waterloo","Lambeth Palace Road, Waterloo","Lambeth Road, Vauxhall","Lavington Street, Bankside","Leman Street, Aldgate","Leonard Circus , Shoreditch","Lincoln's Inn Fields, Holborn","Little Argyll Street, West End","Lollard Street, Vauxhall","Long Lane , Bermondsey","Longford Street, The Regent's Park","Lower Marsh, Waterloo","Lower Thames Street, Monument","Macclesfield Rd, St Lukes","Malet Street, Bloomsbury","Mallory Street, Marylebone","Margery Street, Clerkenwell","Marylebone Lane, Marylebone","Millbank Tower, Pimlico","Millennium Hotel, Mayfair","Milroy Walk, South Bank","Montpelier Street, Knightsbridge","Monument Street, Monument","Moor Street, Soho","Moorfields, Moorgate","Murray Grove , Hoxton","Museum of London, Barbican","New Cavendish Street, Marylebone","New Fetter Lane, Holborn","New Globe Walk, Bankside","New Inn Yard, Shoreditch","New Kent Road, The Borough","New North Road 2, Hoxton","Newgate Street , St. Paul's","Newton Street, Covent Garden","North Audley Street, Mayfair","Northdown Street, King's Cross","Northington Street , Holborn","Northumberland Avenue, Strand","Norton Folgate, Liverpool Street","Nutford Place, Marylebone","Old Quebec Street, Marylebone","Old Street Station, St. Luke's","Ontario Street, Elephant & Castle","Ossulston Street, Somers Town","Paddington Street, Marylebone","Page Street, Westminster","Palissy Street, Shoreditch","Pall Mall East, West End","Pancras Road, King's Cross","Panton Street, West End","Park Lane , Hyde Park","Park Lane, Mayfair","Park Road (Baker Street), The Regent's Park","Park Street, Bankside","Percival Street, Finsbury","Pindar Street, Liverpool Street","Pitfield Street Central, Hoxton","Pont Street, Knightsbridge","Porchester Place, Paddington","Portland Place, Marylebone","Portman Square, Marylebone","Portugal Street, Holborn","Poured Lines, Bankside","Queen Mother Sports Centre, Victoria","Queen Street 1, Bank","Queen Street 2, Bank","Queen Victoria Street, St. Paul's","Rampayne Street, Pimlico","Rathbone Street, Fitzrovia","Red Lion Square, Holborn","Red Lion Street, Holborn","Regency Street, Westminster","Risinghill Street, Angel","River Street , Clerkenwell","Rochester Row, Westminster","Rodney Road , Walworth","Roscoe Street, St. Luke's","Royal Avenue 1, Chelsea","Royal Avenue 2, Chelsea","Russell Square Station, Bloomsbury","Sackville Street, Mayfair","Sadlers Sports Centre, Finsbury","Sail Street, Vauxhall","Sancroft Street, Vauxhall","Scala Street, Fitzrovia","Sea Containers, South Bank","Sedding Street, Sloane Square","Seville Street, Knightsbridge","Seymour Place, Marylebone","Shoreditch High Street, Shoreditch","Shouldham Street, Marylebone","Sloane Avenue, Knightsbridge","Smith Square, Westminster","Snow Hill, Farringdon","Snowsfields, London Bridge","Soho Square , Soho","Somerset House, Strand","South Audley Street, Mayfair","Southampton Place, Holborn","Southampton Street, Strand","Southwark Station 2, Southwark","Southwark Street, Bankside","Southwick Street, Paddington","St Mary's Hospital, Paddington","St. Bride Street, Holborn","St. Chad's Street, King's Cross","St. George Street, Mayfair","St. James's Square, St. James's","St. John Street, Finsbury","St. John's Wood Church, The Regent's Park","St. Katharine's Way, Tower","St. Martin's Street, West End","St. Mary Axe, Aldgate","Stamford Street, South Bank","Stanhope Gate, Mayfair","Store Street, Bloomsbury","Storey's Gate, Westminster","Strand, Strand","Strata, Elephant & Castle","Sun Street, Liverpool Street","Swan Street, The Borough","Tachbrook Street, Victoria","Tallis Street, Temple","Tanner Street, Bermondsey","Tate Modern, Bankside","Tavistock Place, Bloomsbury","Tavistock Street, Covent Garden","Taviton Street, Bloomsbury","Temple Gardens, Temple","The Guildhall, Guildhall","The Tennis Courts, The Regent's Park","Theobald's Road , Holborn","Tooley Street, Bermondsey","Torrens Street, Angel","Tower Gardens , Tower","Tower Wharf, Bermondsey","Triangle Car Park, Hyde Park","Tyers Gate, Bermondsey","Tysoe Street, Clerkenwell","Union Street, The Borough","Upper Grosvenor Street, Mayfair","Victoria & Albert Museum, South Kensington","Victory Place, Walworth","Vincent Square, Westminster","Vincent Street, Pimlico","Walnut Tree Walk, Vauxhall","Walworth Square, Walworth","Wardour Street, Soho","Warren Street Station, Euston","Warwick Row, Westminster","Warwick Square, Pimlico","Waterloo Bridge, South Bank","Waterloo Place, St. James's","Waterloo Road, South Bank","Waterloo Station 1, Waterloo","Waterloo Station 2, Waterloo","Waterloo Station 3, Waterloo","Webber Street , Southwark","Wellington Arch, Hyde Park","Wellington Row, Bethnal Green","Wellington Street , Strand","Wells Street, Fitzrovia","Wenlock Road , Hoxton","West Smithfield Rotunda, Farringdon","Westminster Bridge Road, Elephant & Castle","Westminster Pier, Westminster","Westminster University, Marylebone","Whitehall Place, Strand","William IV Street, Strand","Windsor Terrace, Hoxton","Wood Street, Guildhall","Woodstock Street, Mayfair","Wormwood Street, Liverpool Street","Worship Street, Shoreditch","Wren Street, Holborn"
"Abbey Orchard Street, Westminster",38.0,4.0,0.0,6.0,0.0,5.0,11.0,0.0,1.0,0.0,19.0,1.0,0.0,4.0,1.0,2.0,7.0,4.0,3.0,1.0,1.0,7.0,3.0,0.0,10.0,4.0,0.0,14.0,2.0,4.0,6.0,12.0,1.0,14.0,0.0,7.0,3.0,13.0,10.0,3.0,4.0,10.0,3.0,0.0,0.0,6.0,1.0,16.0,2.0,2.0,8.0,0.0,2.0,1.0,0.0,5.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,25.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,12.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,9.0,1.0,3.0,7.0,0.0,1.0,5.0,0.0,12.0,11.0,1.0,18.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,18.0,1.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,6.0,1.0,9.0,1.0,27.0,19.0,1.0,1.0,4.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0,1.0,1.0,2.0,9.0,3.0,0.0,1.0,0.0,2.0,13.0,5.0,3.0,4.0,3.0,2.0,2.0,1.0,0.0,11.0,1.0,1.0,4.0,0.0,7.0,2.0,13.0,9.0,2.0,0.0,14.0,0.0,0.0,0.0,2.0,1.0,11.0,4.0,0.0,1.0,24.0,4.0,1.0,2.0,1.0,0.0,4.0,6.0,6.0,0.0,2.0,0.0,2.0,12.0,18.0,0.0,0.0,4.0,0.0,1.0,10.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,42.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,2.0,1.0,0.0,34.0,1.0,0.0,2.0,6.0,6.0,8.0,17.0,5.0,5.0,1.0,5.0,0.0,8.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,3.0,2.0,0.0,4.0,17.0,6.0,3.0,2.0,7.0,4.0,1.0,3.0,16.0,0.0,0.0,7.0,5.0,0.0,2.0,14.0,4.0,3.0,0.0,3.0,14.0,0.0,5.0,2.0,3.0,0.0,4.0,4.0,2.0,8.0,0.0,4.0,11.0,27.0,1.0,2.0,8.0,14.0,0.0,4.0,4.0,3.0,2.0,1.0,10.0,0.0,0.0,2.0,2.0,5.0,12.0,4.0,2.0,10.0,2.0,3.0,0.0,2.0,16.0,24.0,2.0,0.0,1.0,11.0,13.0,7.0,1.0,0.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,6.0,2.0,29.0,4.0,6.0,7.0,9.0,34.0,0.0,6.0,0.0,11.0,14.0,50.0,0.0,8.0,0.0,30.0,6.0,0.0,3.0,0.0,7.0,1.0,7.0,8.0,1.0,2.0,0.0,33.0,1.0,4.0
"Abingdon Green, Westminster",5.0,29.0,0.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,8.0,3.0,0.0,15.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,4.0,5.0,0.0,4.0,1.0,3.0,5.0,4.0,1.0,15.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,3.0,1.0,8.0,1.0,0.0,4.0,0.0,5.0,3.0,1.0,0.0,2.0,1.0,7.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,21.0,0.0,0.0,0.0,1.0,12.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,6.0,9.0,0.0,4.0,0.0,2.0,3.0,0.0,18.0,8.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,14.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,6.0,2.0,0.0,13.0,0.0,3.0,3.0,0.0,2.0,7.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,4.0,57.0,3.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,15.0,4.0,0.0,1.0,2.0,4.0,5.0,1.0,0.0,6.0,1.0,7.0,2.0,1.0,2.0,0.0,1.0,6.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,12.0,0.0,10.0,0.0,5.0,2.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,4.0,2.0,3.0,5.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,6.0,1.0,2.0,6.0,3.0,1.0,1.0,12.0,0.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,10.0,1.0,0.0,3.0,6.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,3.0,3.0,3.0,0.0,7.0,13.0,1.0,0.0,0.0,1.0,0.0,33.0,1.0,1.0,4.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,0.0,7.0,3.0,11.0,6.0,4.0,0.0,4.0,1.0,0.0,6.0,2.0,6.0,0.0,17.0,9.0,0.0,0.0,1.0,10.0,1.0,1.0
"Albany Street, The Regent's Park",0.0,1.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,1.0,1.0,69.0,3.0,22.0,20.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,36.0,0.0,1.0,47.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,5.0,2.0,8.0,3.0,0.0,6.0,0.0,6.0,12.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,1.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,1.0,30.0,0.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,11.0,58.0,19.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,20.0,3.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,21.0,0.0,0.0,1.0,6.0,0.0,12.0,6.0,0.0,0.0,0.0,1.0,8.0,11.0,0.0,31.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,20.0,1.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,24.0,62.0,0.0,0.0,1.0,1.0,33.0,0.0,24.0,2.0,0.0,5.0,9.0,35.0,1.0,0.0,1.0,3.0,0.0,5.0,53.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,1.0,5.0,28.0,0.0,0.0,18.0,1.0,2.0,1.0,30.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,4.0,4.0,2.0,0.0,1.0,23.0,1.0,0.0,12.0,26.0,0.0,0.0,0.0,4.0,11.0,3.0,2.0,153.0,0.0,0.0,0.0,1.0,0.0,1.0,46.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,25.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,35.0,0.0,4.0,0.0,3.0,0.0,0.0,23.0,2.0,0.0,8.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,2.0,7.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,43.0,6.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,4.0,15.0,0.0,0.0,19.0,8.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,100.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,26.0,0.0,0.0,0.0,3.0,16.0,2.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0
"Albert Embankment, Vauxhall",6.0,5.0,0.0,38.0,0.0,1.0,9.0,1.0,9.0,0.0,18.0,1.0,0.0,14.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,4.0,16.0,1.0,2.0,2.0,7.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,3.0,17.0,0.0,37.0,2.0,1.0,3.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,2.0,0.0,1.0,0.0,11.0,1.0,46.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,11.0,13.0,2.0,0.0,40.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,2.0,3.0,8.0,2.0,0.0,0.0,0.0,9.0,9.0,11.0,10.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,3.0,8.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,7.0,0.0,9.0,3.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,13.0,10.0,10.0,4.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,10.0,1.0,0.0,1.0,5.0,0.0,0.0,38.0,3.0,1.0,1.0,3.0,0.0,24.0,9.0,0.0,6.0,5.0,8.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,5.0,0.0,23.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,6.0,2.0,8.0,0.0,10.0,7.0,1.0,0.0,4.0,2.0,7.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,6.0,1.0,4.0,3.0,1.0,9.0,1.0,17.0,6.0,14.0,5.0,2.0,0.0,8.0,3.0,0.0,2.0,1.0,18.0,0.0,14.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0
"Albert Gate, Hyde Park",7.0,1.0,1.0,0.0,506.0,2.0,8.0,1.0,0.0,0.0,1.0,9.0,1.0,1.0,4.0,2.0,0.0,2.0,3.0,5.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,7.0,1.0,6.0,0.0,0.0,10.0,16.0,2.0,0.0,29.0,0.0,6.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,6.0,6.0,5.0,7.0,7.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,12.0,3.0,0.0,3.0,3.0,0.0,15.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,48.0,51.0,0.0,2.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,2.0,13.0,0.0,2.0,1.0,6.0,2.0,1.0,2.0,2.0,0.0,0.0,225.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,2.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,2.0,7.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,3.0,12.0,0.0,6.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,20.0,0.0,0.0,13.0,0.0,14.0,45.0,0.0,0.0,9.0,5.0,6.0,0.0,14.0,0.0,10.0,166.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,27.0,20.0,17.0,23.0,1.0,3.0,8.0,10.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,6.0,1.0,4.0,2.0,6.0,0.0,2.0,7.0,4.0,9.0,2.0,7.0,1.0,0.0,7.0,11.0,0.0,0.0,12.0,22.0,0.0,2.0,0.0,9.0,1.0,0.0,11.0,0.0,39.0,1.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,65.0,0.0,0.0,3.0,7.0,7.0,0.0,2.0,1.0,0.0,0.0,11.0,5.0,12.0,6.0,1.0,14.0,1.0,11.0,5.0,10.0,0.0,37.0,0.0,2.0,6.0,0.0,0.0,0.0,37.0,0.0,12.0,5.0,1.0,0.0,11.0,0.0,0.0,0.0
"Aldersgate Street, Barbican",6.0,2.0,1.0,0.0,1.0,48.0,5.0,1.0,0.0,0.0,2.0,1.0,46.0,24.0,10.0,18.0,38.0,1.0,9.0,0.0,2.0,0.0,1.0,9.0,0.0,22.0,5.0,5.0,15.0,25.0,7.0,0.0,6.0,3.0,1.0,10.0,1.0,1.0,0.0,1.0,55.0,0.0,5.0,4.0,6.0,5.0,1.0,0.0,1.0,8.0,54.0,0.0,3.0,58.0,2.0,4.0,26.0,0.0,0.0,1.0,8.0,3.0,2.0,12.0,0.0,0.0,1.0,3.0,89.0,0.0,56.0,15.0,26.0,0.0,5.0,0.0,6.0,5.0,10.0,17.0,10.0,11.0,0.0,1.0,5.0,1.0,0.0,2.0,10.0,24.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,15.0,19.0,25.0,39.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,11.0,11.0,21.0,0.0,5.0,2.0,11.0,57.0,214.0,3.0,25.0,0.0,1.0,17.0,19.0,19.0,1.0,0.0,0.0,0.0,4.0,10.0,14.0,41.0,2.0,4.0,49.0,6.0,0.0,18.0,27.0,8.0,3.0,3.0,3.0,1.0,33.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,2.0,1.0,0.0,6.0,0.0,4.0,0.0,2.0,9.0,13.0,9.0,2.0,19.0,0.0,16.0,2.0,3.0,7.0,0.0,5.0,3.0,2.0,2.0,6.0,3.0,1.0,0.0,84.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,8.0,44.0,2.0,49.0,7.0,18.0,1.0,5.0,3.0,83.0,22.0,0.0,7.0,1.0,3.0,0.0,2.0,0.0,2.0,12.0,48.0,35.0,17.0,3.0,3.0,0.0,12.0,0.0,13.0,29.0,6.0,0.0,2.0,38.0,2.0,12.0,0.0,0.0,74.0,4.0,2.0,0.0,2.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0,18.0,9.0,10.0,1.0,4.0,6.0,2.0,29.0,3.0,3.0,18.0,6.0,9.0,3.0,1.0,3.0,3.0,5.0,4.0,5.0,1.0,0.0,35.0,1.0,1.0,2.0,1.0,162.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,18.0,0.0,0.0,3.0,16.0,5.0,11.0,4.0,0.0,11.0,2.0,6.0,2.0,1.0,2.0,5.0,2.0,0.0,12.0,3.0,0.0,11.0,10.0,11.0,12.0,0.0,3.0,2.0,28.0,1.0,56.0,1.0,8.0,3.0,5.0,4.0,10.0,5.0,2.0,4.0,11.0,0.0,14.0,8.0,12.0,22.0,2.0,1.0,3.0,36.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,13.0,3.0,15.0,8.0,4.0,8.0,42.0,18.0,53.0,2.0,3.0,10.0,2.0,8.0,42.0,20.0,0.0,9.0,1.0,28.0,16.0,5.0,10.0,2.0,22.0,43.0,5.0
